id,created_at,updated_at,first_name,last_name,email,password,salt,date_of_birth,user_role,phone_number,avatar
11111111-1111-1111-1111-111111111111,2023-01-01 12:00:00,,John,Doe,john.doe1@example.com,password1,salt1,1990-01-01,2,1234567890,avatar1.png
22222222-2222-2222-2222-222222222222,2023-01-02 12:00:00,,Jane,Smith,jane.smith1@example.com,password2,salt2,1992-02-02,2,0987654321,avatar2.png
33333333-3333-3333-3333-333333333333,2023-01-03 12:00:00,,Alice,Johnson,alice.johnson@example.com,password3,salt3,1994-03-03,2,1122334455,avatar3.png
44444444-4444-4444-4444-444444444444,2023-01-04 12:00:00,,Bob,Williams,bob.williams@example.com,password4,salt4,1988-04-04,2,2233445566,avatar4.png
55555555-5555-5555-5555-555555555555,2023-01-05 12:00:00,,Charlie,Brown,charlie.brown@example.com,password5,salt5,1996-05-05,2,3344556677,avatar5.png
66666666-6666-6666-6666-666666666666,2023-01-06 12:00:00,,David,Jones,david.jones@example.com,password6,salt6,1998-06-06,2,4455667788,avatar6.png
77777777-7777-7777-7777-777777777777,2023-01-07 12:00:00,,Eve,Miller,eve.miller@example.com,password7,salt7,1985-07-07,2,5566778899,avatar7.png
88888888-8888-8888-8888-888888888888,2023-01-08 12:00:00,,Frank,Moore,frank.moore@example.com,password8,salt8,1991-08-08,2,6677889900,avatar8.png
99999999-9999-9999-9999-999999999999,2023-01-09 12:00:00,,Grace,Taylor,grace.taylor@example.com,password9,salt9,1993-09-09,2,7788990011,avatar9.png
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2023-01-10 12:00:00,,Henry,Anderson,henry.anderson@example.com,password10,salt10,1989-10-10,2,8899001122,avatar10.png
